frame,TVB - Forward,TVB - Deferred,TVB + G-buffer - Deferred,Forward + Prepass - Forward,Deferred + Prepass - Deferred
0,0.06818000000000002,0.044800000000000006,0.06629999999999997,0.15220999999999996,0.18404000000000004
10,0.06880999999999993,0.04616999999999993,0.06758999999999993,0.1482,0.1845
20,0.06381000000000003,0.047250000000000014,0.06845999999999997,0.14236000000000004,0.18984999999999996
30,0.06680000000000003,0.04829,0.07000999999999996,0.14726,0.18593999999999994
40,0.06842999999999999,0.051929999999999976,0.08745999999999998,0.16532000000000002,0.19195999999999996
50,0.07244,0.05514000000000002,0.07299,0.1523,0.19766000000000006
60,0.07183,0.05606,0.07602999999999999,0.15450000000000003,0.19290999999999997
70,0.06897000000000003,0.05994000000000005,0.08174000000000003,0.14505,0.22027000000000013
80,0.09786999999999996,0.08603999999999995,0.08251000000000003,0.14850999999999998,0.19702000000000003
90,0.07763000000000003,0.061370000000000036,0.08136999999999994,0.19039999999999996,0.19512999999999997
100,0.044509999999999994,0.051090000000000024,0.07253000000000004,0.12833999999999995,0.21969
110,0.07685999999999998,0.04396,0.047819999999999974,0.18013,0.17836999999999997
120,0.05882999999999999,0.041789999999999994,0.060350000000000015,0.15963,0.21972999999999998
130,0.05782999999999999,0.04131000000000001,0.06348000000000004,0.15256999999999998,0.19263999999999998
140,0.05676000000000003,0.04165000000000002,0.06028,0.15090000000000003,0.19026999999999994
150,0.06079000000000001,0.04250000000000004,0.05976999999999999,0.15376,0.21264999999999995
160,0.06248999999999999,0.04355000000000003,0.06332000000000004,0.1563,0.1935
170,0.06309999999999999,0.04380999999999996,0.06335999999999992,0.15510999999999997,0.19467999999999996
180,0.06548999999999999,0.04620000000000002,0.06383,0.15572000000000003,0.21874000000000005
190,0.06638000000000005,0.04770000000000002,0.06691999999999998,0.15929000000000004,0.19657000000000008
200,0.06702000000000002,0.046719999999999984,0.06608999999999998,0.15935000000000005,0.22072999999999998
210,0.06761000000000006,0.04522000000000004,0.06443999999999994,0.15940000000000004,0.19429999999999997
220,0.06702999999999998,0.046729999999999994,0.06553999999999999,0.15814999999999996,0.19419999999999998
230,0.07578000000000001,0.05573,0.07455999999999996,0.1638,0.20084000000000002
240,0.08201999999999998,0.06395,0.0827,0.16305000000000003,0.19867
250,0.08376999999999996,0.06412999999999991,0.08255000000000001,0.15703,0.19597999999999993
260,0.08134999999999998,0.06464000000000003,0.08195000000000002,0.15283999999999998,0.19599000000000005
270,0.08309,0.06547999999999998,0.08312999999999998,0.15482999999999997,0.19474999999999998
280,0.07545000000000002,0.05810000000000004,0.07663999999999999,0.15459,0.1968600000000001
290,0.06584999999999996,0.045469999999999955,0.06334000000000001,0.15511999999999998,0.19206
300,0.06324999999999997,0.044269999999999976,0.06317999999999996,0.15444999999999998,0.19058999999999998
310,0.035570000000000046,0.04058000000000006,0.06045000000000006,0.13021,0.19205
320,0.05945999999999996,0.04168999999999995,0.06112999999999996,0.15365,0.19358999999999998
330,0.06394,0.04846000000000006,0.06736000000000003,0.15176999999999996,0.19696000000000002
340,0.07181999999999994,0.05026999999999998,0.06952000000000008,0.15731999999999996,0.19846000000000008
350,0.08324999999999999,0.06440999999999997,0.08671999999999996,0.15206999999999998,0.19360999999999995
360,0.06704000000000004,0.028380000000000072,0.04760000000000003,0.15321,0.20067000000000002
370,0.06285999999999997,0.04018999999999995,0.06075999999999998,0.15455000000000002,0.19264999999999993
380,0.05784,0.04074999999999995,0.061809999999999976,0.15248999999999996,0.19897999999999993
390,0.05739,0.044269999999999976,0.06331999999999999,0.15094000000000002,0.22527999999999992
400,0.05523,0.04529,0.06490000000000001,0.18425999999999998,0.19515999999999994
410,0.05559999999999998,0.04509999999999997,0.06408000000000003,0.15433000000000002,0.19562000000000002
420,0.05156000000000005,0.04145000000000004,0.060819999999999985,0.15574000000000005,0.19447000000000003
430,0.051669999999999994,0.03875000000000001,0.05889,0.15021,0.19256
440,0.050490000000000035,0.038310000000000066,0.05881000000000003,0.14935000000000004,0.19526000000000004
450,0.055320000000000036,0.04287000000000002,0.06214999999999998,0.15158999999999995,0.19597999999999993
460,0.05265000000000003,0.04256000000000004,0.06289,0.15089000000000002,0.19783
470,0.05512999999999996,0.03926999999999997,0.06012000000000001,0.15318000000000004,0.19206000000000006
480,0.05163000000000001,0.027160000000000017,0.04461000000000004,0.14641000000000004,0.16388000000000003
490,0.048850000000000005,0.031789999999999985,0.048919999999999964,0.14493,0.16737999999999992
500,0.05370999999999998,0.04164000000000001,0.061380000000000046,0.14918000000000003,0.18978000000000006
510,0.058260000000000034,0.047729999999999995,0.06752999999999998,0.14299,0.18693999999999994
520,0.06419000000000002,0.05487000000000003,0.09093999999999997,0.14646999999999993,0.19265
530,0.07148000000000004,0.061590000000000034,0.08258000000000004,0.14959,0.19233
540,0.07418999999999998,0.06435000000000002,0.08467000000000002,0.15050999999999998,0.19573000000000007
550,0.08055000000000001,0.06527,0.08557000000000003,0.16160000000000002,0.19732
560,0.08151999999999998,0.06581999999999993,0.08686999999999995,0.15667999999999999,0.19698
570,0.059670000000000056,0.06856000000000001,0.08934000000000003,0.13275000000000003,0.19954000000000005
580,0.08807999999999999,0.07444999999999996,0.09490000000000004,0.15941,0.20281
590,0.08811000000000002,0.06847000000000003,0.08851999999999999,0.16227999999999998,0.19773000000000007
600,0.08710000000000001,0.06825999999999999,0.08599999999999997,0.16174,0.19789
610,0.08807999999999999,0.05007999999999996,0.06705999999999995,0.16147,0.17818999999999996
620,0.08557999999999993,0.05107999999999996,0.06963000000000003,0.16151,0.17858000000000002
630,0.08461999999999997,0.06834999999999997,0.08382999999999996,0.15875,0.19475999999999993
640,0.10836000000000007,0.09148000000000006,0.09208000000000005,0.16376000000000007,0.19620000000000004
650,0.09885,0.08276,0.09754000000000002,0.16766999999999999,0.19796999999999998
660,0.09441,0.07873999999999998,0.09534999999999999,0.16081999999999996,0.19548
670,0.09097,0.07566,0.09351000000000004,0.15797000000000005,0.19259000000000004
680,0.08689000000000002,0.07302999999999998,0.09040000000000004,0.15386,0.19518999999999992
690,0.09075,0.07402999999999998,0.09187999999999996,0.16114,0.1951699999999999
700,0.08893000000000001,0.07516,0.09378999999999998,0.16168000000000005,0.19030999999999998
710,0.08974000000000004,0.07346999999999998,0.09073999999999993,0.16691000000000006,0.21827000000000002
720,0.08662000000000003,0.07204000000000005,0.08774000000000004,0.1886,0.18969000000000008
730,0.08479999999999999,0.06984000000000001,0.08583000000000002,0.16096,0.18951999999999997
740,0.08117999999999997,0.06864999999999993,0.0832,0.15476,0.18471000000000004
750,0.07706999999999997,0.062460000000000016,0.07755000000000001,0.15321,0.18122000000000005
760,0.07967000000000002,0.06680999999999998,0.08198000000000005,0.15389000000000003,0.18738000000000005
770,0.08180000000000004,0.07186999999999999,0.08661999999999997,0.15471000000000001,0.18840999999999997
780,0.08512999999999998,0.07638,0.09233000000000002,0.15532999999999997,0.19055
790,0.05931000000000003,0.07705000000000001,0.09340999999999994,0.13027000000000005,0.19125000000000003
800,0.08282999999999996,0.07517999999999997,0.0917,0.15431999999999996,0.18907000000000002
810,0.08185000000000003,0.07643000000000005,0.09243000000000001,0.15117000000000003,0.19046000000000007
820,0.08539000000000008,0.07832000000000006,0.09436,0.15541000000000005,0.18955
830,0.08657999999999999,0.08101000000000003,0.0965100000000001,0.15306000000000003,0.18982000000000004
840,0.08708999999999995,0.08320999999999995,0.10027999999999998,0.15475999999999995,0.19324999999999998
850,0.08873000000000003,0.08408000000000004,0.11773000000000006,0.16291,0.19117
860,0.08822000000000002,0.08293999999999996,0.10107999999999995,0.15838000000000002,0.2171999999999999
870,0.08738000000000001,0.08080000000000004,0.09593000000000002,0.16177999999999998,0.19502000000000008
880,0.08570999999999995,0.08066000000000001,0.09664000000000006,0.16241,0.19232
890,0.0872,0.08234000000000002,0.09760999999999997,0.16331999999999997,0.19368000000000002
900,0.08877000000000002,0.08271,0.09908999999999996,0.16809000000000002,0.19451000000000002
910,0.09217000000000003,0.08790999999999999,0.10349999999999993,0.17365000000000003,0.19807999999999998
920,0.09523000000000004,0.09000000000000002,0.10486000000000001,0.17928000000000005,0.2027000000000001
930,0.09893999999999997,0.09182000000000001,0.10703000000000001,0.18527999999999994,0.20577
940,0.10207,0.09381000000000006,0.10795000000000005,0.19100999999999996,0.20586000000000004
950,0.10161000000000003,0.09454000000000001,0.1079,0.19647000000000003,0.21069
960,0.10088999999999998,0.09370999999999996,0.10747000000000001,0.20192,0.21299999999999997
970,0.10232000000000002,0.09399000000000002,0.10627999999999999,0.20483999999999997,0.21511999999999998
980,0.10079999999999995,0.09216999999999997,0.10479,0.20650999999999997,0.21454000000000006
990,0.12163999999999997,0.11307999999999996,0.10582999999999998,0.20837000000000006,0.21646999999999994
1000,0.10102,0.09233999999999998,0.10406999999999994,0.21065999999999996,0.21671
1010,0.10165999999999997,0.09275999999999995,0.10402999999999996,0.23577999999999993,0.21581999999999996
1020,0.10177000000000003,0.09252000000000005,0.12166000000000005,0.21009,0.21575000000000005
1030,0.10119999999999996,0.09321000000000002,0.10577999999999999,0.21345999999999993,0.2438700000000001
1040,0.09991,0.09262999999999999,0.12259000000000003,0.21522999999999998,0.21968
1050,0.10047,0.09282000000000001,0.1038,0.21619,0.24511
1060,0.10015000000000002,0.09172000000000002,0.10337999999999997,0.21924,0.22209
1070,0.07445000000000002,0.09124000000000004,0.10278000000000004,0.19766999999999996,0.22481000000000007
1080,0.09672999999999998,0.07500999999999997,0.08670999999999995,0.22146,0.21002999999999988
1090,0.09965999999999997,0.09219999999999995,0.10391999999999996,0.22587000000000002,0.22816000000000003
1100,0.09875,0.09160999999999997,0.10414999999999996,0.2268500000000001,0.2288699999999999
1110,0.09802,0.08994000000000002,0.10249000000000003,0.22790999999999995,0.22924999999999995
1120,0.11352000000000001,0.10471000000000003,0.10178000000000004,0.22773000000000004,0.22864
1130,0.09711000000000003,0.08881000000000006,0.10199000000000003,0.22774000000000005,0.22819
1140,0.09672000000000003,0.08888000000000001,0.10233000000000003,0.22762000000000004,0.22921999999999992
1150,0.11295,0.10544999999999993,0.10412999999999994,0.22725000000000006,0.22936999999999996
1160,0.09758,0.09083000000000002,0.10425000000000001,0.22663,0.22866000000000003
1170,0.09756999999999999,0.09106999999999998,0.10527999999999998,0.22674,0.22904000000000002
1180,0.09765000000000001,0.09106000000000003,0.10697000000000007,0.22618999999999995,0.2447700000000001
1190,0.09809000000000001,0.09166000000000002,0.10626999999999998,0.22359000000000007,0.22659999999999997
1200,0.09831000000000006,0.09143000000000007,0.10581000000000002,0.22199000000000002,0.22653
1210,0.09802000000000005,0.09109000000000006,0.1058,0.22039000000000003,0.22412000000000004
1220,0.09709000000000001,0.08914999999999995,0.10403999999999997,0.21185000000000004,0.21796999999999994
1230,0.09571999999999997,0.08551999999999998,0.1018,0.19717999999999997,0.20651999999999998
1240,0.09345999999999999,0.07813999999999999,0.09315999999999997,0.16819,0.18585000000000007
1250,0.09048999999999996,0.07173000000000002,0.08809000000000006,0.15941,0.18118
1260,0.08853999999999998,0.06553999999999999,0.08274000000000004,0.15557999999999997,0.17729
1270,0.05686000000000002,0.06009000000000003,0.07764000000000004,0.13475000000000004,0.17516000000000004
1280,0.08275000000000005,0.05713000000000007,0.07387000000000005,0.15915999999999997,0.17460000000000003
1290,0.08124999999999999,0.05498999999999998,0.07311999999999996,0.15209,0.17273
1300,0.08397000000000004,0.06166000000000005,0.07823000000000002,0.15299000000000001,0.17495
1310,0.08557999999999999,0.04682999999999998,0.061470000000000025,0.15404,0.15917000000000003
1320,0.08572999999999997,0.06102999999999992,0.07788999999999996,0.15778999999999999,0.17567999999999995
