frame,Forward,Forward + Prepass,Deferred,Deferred + Prepass,TVB,TVB + G-buffer
0,0.25449,0.40669999999999995,0.27787,0.46191000000000004,0.32267,0.34417
10,0.25624,0.40444,0.27888,0.46338,0.32504999999999995,0.34646999999999994
20,0.2622,0.40456000000000003,0.27876,0.46860999999999997,0.32601,0.34722
30,0.26114,0.4084,0.27965,0.46558999999999995,0.32794,0.34965999999999997
40,0.26232,0.42764,0.27882,0.47078,0.33075,0.36628
50,0.26388,0.41618,0.28118,0.47884000000000004,0.33632,0.35417
60,0.26864,0.42314,0.28441,0.47731999999999997,0.34047,0.36044
70,0.27668,0.42173,0.28570999999999996,0.5059800000000001,0.34565,0.36745
80,0.2727,0.42121,0.28453,0.48155000000000003,0.37056999999999995,0.36704000000000003
90,0.26744,0.45783999999999997,0.2837,0.47883,0.34507000000000004,0.36506999999999995
100,0.29475,0.42308999999999997,0.28817,0.50786,0.33926,0.3607
110,0.27334,0.45347000000000004,0.30624,0.48461,0.3502,0.35406
120,0.2726,0.43223,0.28964,0.50937,0.33143,0.34999
130,0.27181,0.42438,0.28833,0.48096999999999995,0.32964,0.35181
140,0.27845,0.42935,0.29356,0.4838299999999999,0.33521,0.35384
150,0.27637,0.43013,0.29466,0.5073099999999999,0.33716,0.35442999999999997
160,0.2751,0.4314,0.29403999999999997,0.48754,0.33759,0.35736
170,0.27715,0.43226,0.29644000000000004,0.49112,0.34025,0.35979999999999995
180,0.27843,0.43415000000000004,0.29772,0.51646,0.34392,0.36155
190,0.27767,0.43696,0.29635,0.4929200000000001,0.34405,0.36327
200,0.27634,0.43569,0.29664,0.51737,0.34336,0.36273
210,0.27629,0.43569,0.29868,0.49298,0.34390000000000004,0.36311999999999994
220,0.27667,0.43482,0.29697,0.49117,0.3437,0.36251
230,0.27031,0.43411,0.29036,0.4912,0.34609,0.36491999999999997
240,0.27156,0.43461000000000005,0.28963,0.4883,0.35358,0.37233
250,0.27048,0.42751,0.29012000000000004,0.4861,0.35424999999999995,0.37267000000000006
260,0.26989,0.42273,0.28659999999999997,0.48259,0.35124,0.36855
270,0.27087,0.42569999999999997,0.28848,0.48323,0.35396,0.37161
280,0.27182,0.42641,0.28917,0.4860300000000001,0.34727,0.36580999999999997
290,0.27382,0.42894,0.2942,0.48626,0.33966999999999997,0.35754
300,0.27559,0.43004,0.29457,0.48516,0.33884,0.35774999999999996
310,0.30071,0.43091999999999997,0.29569999999999996,0.48774999999999996,0.33628,0.35615
320,0.27621,0.42986,0.29398,0.48757,0.33566999999999997,0.35511
330,0.27639,0.42816,0.29186999999999996,0.48883,0.34033,0.35923
340,0.27028,0.4276,0.29183,0.49029000000000006,0.34209999999999996,0.36135000000000006
350,0.27343,0.4255,0.29227000000000003,0.48588,0.35668,0.37899
360,0.27192,0.42513,0.31057999999999997,0.51125,0.33896000000000004,0.35818
370,0.27241,0.42696,0.29508,0.48772999999999994,0.33526999999999996,0.35584
380,0.27248,0.42496999999999996,0.28957000000000005,0.48855,0.33032,0.35138
390,0.27213,0.42307,0.28525,0.5105299999999999,0.32952,0.34857
400,0.27355,0.45781,0.28349,0.47864999999999996,0.32878,0.34839000000000003
410,0.27335,0.42768,0.28385,0.47947,0.32894999999999996,0.34793
420,0.27785,0.43359000000000003,0.28796,0.48243,0.32941000000000004,0.34878
430,0.27643,0.42664,0.28935,0.48191,0.3281,0.34824
440,0.27697,0.42632000000000003,0.28914999999999996,0.48441,0.32746000000000003,0.34796
450,0.27282,0.42440999999999995,0.28527,0.48124999999999996,0.32814000000000004,0.34742
460,0.27348,0.42437,0.28357,0.4814,0.32613000000000003,0.34646
470,0.26931,0.42249000000000003,0.28517,0.47723000000000004,0.32443999999999995,0.34529
480,0.27325,0.41966000000000003,0.29772,0.4616,0.32488,0.34233
490,0.2746,0.41953,0.29166000000000003,0.45903999999999995,0.32345,0.34058
500,0.27497,0.42415,0.28703999999999996,0.47682,0.32867999999999997,0.34842
510,0.28056,0.42355,0.29109,0.47802999999999995,0.33882,0.35862
520,0.27816,0.42462999999999995,0.28748,0.48013,0.34235000000000004,0.37842
530,0.27323,0.42282,0.28312,0.47545,0.34471,0.3657
540,0.27944,0.42995,0.28928,0.48501000000000005,0.35363,0.37395
550,0.27585,0.43745,0.29113,0.48845,0.3564,0.37670000000000003
560,0.27458,0.43126,0.29028000000000004,0.48726,0.35609999999999997,0.37715
570,0.29921,0.43196,0.29032,0.4898600000000001,0.35888000000000003,0.37966000000000005
580,0.27917,0.43857999999999997,0.2928,0.49561,0.36724999999999997,0.38770000000000004
590,0.27552,0.43779999999999997,0.29516,0.49289000000000005,0.36363,0.38367999999999997
600,0.27282,0.43456,0.29166000000000003,0.48955000000000004,0.35992,0.37766
610,0.27166,0.43313,0.30966000000000005,0.48785,0.35974,0.37672
620,0.2745,0.43601,0.309,0.48758,0.36007999999999996,0.37863
630,0.28109,0.43984,0.29736,0.49211999999999995,0.36571,0.38119
640,0.28039,0.44415000000000004,0.29727,0.49347,0.38875000000000004,0.38935000000000003
650,0.2813,0.44897,0.29739,0.49535999999999997,0.38015,0.39493
660,0.2812,0.44201999999999997,0.29687,0.49235,0.37561,0.39222
670,0.28018,0.43815000000000004,0.29549,0.48808,0.37115,0.389
680,0.27874,0.4326,0.2926,0.48778999999999995,0.36563,0.38300000000000006
690,0.27972,0.44086000000000003,0.29644000000000004,0.49160999999999994,0.37047,0.38832
700,0.28112,0.4428,0.29489,0.48519999999999996,0.37005,0.38867999999999997
710,0.28162,0.44853000000000004,0.29789000000000004,0.5161600000000001,0.37136,0.38863
720,0.2875,0.47609999999999997,0.30207999999999996,0.49177000000000004,0.37412,0.38982
730,0.28937,0.45033,0.30433,0.49384999999999996,0.37417,0.39016
740,0.29388,0.44864,0.30641,0.49112000000000006,0.37505999999999995,0.38961
750,0.29763,0.45084,0.31223999999999996,0.49346,0.3747,0.38978999999999997
760,0.29549,0.44938,0.30835,0.49573000000000006,0.37516,0.39033000000000007
770,0.29578,0.45049,0.30571000000000004,0.49412,0.37758,0.39233
780,0.29431,0.44964,0.30306,0.49361,0.37944,0.39539
790,0.31969,0.44996,0.30195,0.4932,0.379,0.39535999999999993
800,0.2948,0.44911999999999996,0.30245,0.49152,0.37762999999999997,0.39415
810,0.29655,0.44772,0.30196999999999996,0.49243000000000003,0.3784,0.3944
820,0.29599,0.4514,0.30306,0.49261,0.38138000000000005,0.39742
830,0.29729,0.45035000000000003,0.30285999999999996,0.49268,0.38387,0.39937000000000006
840,0.29714,0.45189999999999997,0.30102,0.49427,0.38422999999999996,0.4013
850,0.29696,0.45987,0.30161,0.49278,0.38569000000000003,0.41934000000000005
860,0.29893,0.45731,0.30421000000000004,0.5214099999999999,0.38715,0.40529
870,0.30122,0.46299999999999997,0.30779999999999996,0.50282,0.3886,0.40373
880,0.30369,0.4661,0.30873999999999996,0.50106,0.38939999999999997,0.40538
890,0.30331,0.46663,0.30817,0.50185,0.39051,0.40578
900,0.30011,0.4682,0.30617,0.50068,0.38888,0.40525999999999995
910,0.29666,0.47031,0.30092,0.499,0.38883,0.40441999999999995
920,0.29266,0.47194,0.29789,0.5005900000000001,0.38789,0.40275
930,0.28677,0.47204999999999997,0.29389,0.49966,0.38571,0.40092
940,0.28066,0.47167,0.28891999999999995,0.49478,0.38273,0.39687
950,0.27852,0.47499,0.28559,0.49628,0.38013,0.39349
960,0.27757,0.47948999999999997,0.28475,0.49774999999999997,0.37845999999999996,0.39222
970,0.27597,0.48080999999999996,0.2843,0.49942,0.37829,0.39058
980,0.2755,0.48201,0.28413,0.49867000000000006,0.37629999999999997,0.38892
990,0.27503,0.48340000000000005,0.28359,0.50006,0.39666999999999997,0.38942
1000,0.2742,0.48485999999999996,0.28288,0.49959000000000003,0.37522,0.38694999999999996
1010,0.27282,0.5085999999999999,0.28172,0.49754,0.37448,0.38575
1020,0.27313,0.48322,0.28237999999999996,0.49813,0.3749,0.40404
1030,0.27428,0.48773999999999995,0.28226999999999997,0.52614,0.37548,0.38804999999999995
1040,0.27526,0.49049,0.28254,0.50222,0.37517,0.40513000000000005
1050,0.27569,0.49188,0.28334,0.52845,0.37616,0.38714
1060,0.27538,0.49462,0.28381,0.5059,0.37553000000000003,0.38719
1070,0.3008,0.49846999999999997,0.28401,0.50882,0.37525000000000003,0.38679
1080,0.27961,0.50107,0.30133000000000004,0.5113599999999999,0.37634,0.38804
1090,0.27679,0.50266,0.28425,0.51241,0.37644999999999995,0.38816999999999996
1100,0.27618,0.5030300000000001,0.28332,0.5121899999999999,0.37493,0.38747
1110,0.275,0.50291,0.28308,0.51233,0.37302,0.38557
1120,0.27512,0.50285,0.28392999999999996,0.51257,0.38864,0.38571
1130,0.27525,0.50299,0.28354999999999997,0.51174,0.37236,0.38554
1140,0.27523,0.50285,0.28307,0.5122899999999999,0.37195,0.3854
1150,0.27601,0.50326,0.28351000000000004,0.51288,0.38896,0.38764
1160,0.27749,0.50412,0.28424,0.5129,0.37507,0.38849
1170,0.27799,0.50473,0.28449,0.51353,0.37556,0.38977
1180,0.27816,0.50435,0.28475,0.5295200000000001,0.37581000000000003,0.39172000000000007
1190,0.27964,0.5032300000000001,0.28607,0.51267,0.37773,0.39233999999999997
1200,0.2804,0.50239,0.28728,0.51381,0.37871000000000005,0.39309
1210,0.28158,0.50197,0.28851,0.51263,0.37960000000000005,0.39431
1220,0.27951,0.49136,0.28745000000000004,0.50542,0.3766,0.39149
1230,0.27062,0.4678,0.28082,0.48734,0.36634,0.38262
1240,0.25855,0.42674,0.27387,0.4597200000000001,0.35201,0.36702999999999997
1250,0.25202,0.41143,0.27077999999999997,0.45196,0.34251,0.35887
1260,0.24692,0.40249999999999997,0.26992,0.44721,0.33546,0.35266000000000003
1270,0.27141,0.40616,0.26818,0.44334,0.32827,0.34582
1280,0.24273,0.40188999999999997,0.26835,0.44295,0.32548000000000005,0.34222
1290,0.24257,0.39466,0.26883,0.44156,0.32382,0.34195
1300,0.24821,0.4012,0.27052,0.44547,0.33218000000000003,0.34875
1310,0.25216,0.4062,0.29091,0.45008000000000004,0.33774,0.35238
1320,0.24861,0.4064,0.27331000000000005,0.44899,0.33433999999999997,0.3512
