runner_status,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_return_code,runner_error,param_run_id,param_run_name,param_output_filepath,param_renderer_variant,param_variable,param_to_use_scene,param_to_load_texture,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_vsync,param_camera_mode,param_camera_filepath,param_camera_keyframe_interval,param_profile_window_frames,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_object_count,param_material_count,param_geometry_count,param_overdraw_count,param_to_remain_only_in_camera,param_z_min,param_z_max,param_xy_minmax,param_radius,param_geometry_div,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,run-id,run-name,output-filepath,renderer-variant,variable,to-use-scene,to-load-texture,scene-path,warmup-frames,measure-frames,auto-terminate,vsync,camera-mode,camera-filepath,camera-keyframe-interval,profile-window-frames,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,to-remain-only-in-camera,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,pass_name_0,pass_0_time_avg_ms,pass_name_1,pass_1_time_avg_ms,pass_name_2,pass_2_time_avg_ms,pass_name_3,pass_3_time_avg_ms,pass_name_4,pass_4_time_avg_ms,pass_name_5,pass_5_time_avg_ms,pass_name_6,pass_6_time_avg_ms,pass_name_7,pass_7_time_avg_ms,pass_name_8,pass_8_time_avg_ms,pass_name_9,pass_9_time_avg_ms,pass_name_10,pass_10_time_avg_ms,pass_name_11,pass_11_time_avg_ms,pass_name_12,pass_12_time_avg_ms,pass_name_13,pass_13_time_avg_ms,pass_name_14,pass_14_time_avg_ms,pass_name_15,pass_15_time_avg_ms,pass_name_16,pass_16_time_avg_ms,pass_name_17,pass_17_time_avg_ms,pass_name_18,pass_18_time_avg_ms,pass_name_19,pass_19_time_avg_ms,pass_name_20,pass_20_time_avg_ms,pass_name_21,pass_21_time_avg_ms,pass_name_22,pass_22_time_avg_ms,pass_name_23,pass_23_time_avg_ms,pass_name_24,pass_24_time_avg_ms,pass_name_25,pass_25_time_avg_ms,pass_name_26,pass_26_time_avg_ms,pass_name_27,pass_27_time_avg_ms,pass_name_28,pass_28_time_avg_ms,pass_name_29,pass_29_time_avg_ms,pass_name_30,pass_30_time_avg_ms,pass_name_31,pass_31_time_avg_ms,renderer_name,run_current_time,camera-mode-name,total_time_min_ms,total_time_median_ms,total_time_max_ms,total_time_avg_ms,total_time_p01_ms,total_time_p10_ms,total_time_p90_ms,total_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count
fatal_error,default,,0,,,"Expecting ',' delimiter: line 19 column 5 (char 517)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatal_error,default,,0,,,Unknown ProgramArgument in 'base': to_load_texture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,default,0,0,,0,"Could not read benchmark CSV: Benchmark output CSV is missing ProgramResult fields: pass_name_0, pass_0_time_avg_ms, pass_name_1, pass_1_time_avg_ms, pass_name_2, pass_2_time_avg_ms, pass_name_3, pass_3_time_avg_ms, pass_name_4, pass_4_time_avg_ms, pass_name_5, pass_5_time_avg_ms, pass_name_6, pass_6_time_avg_ms, pass_name_7, pass_7_time_avg_ms, pass_name_8, pass_8_time_avg_ms, pass_name_9, pass_9_time_avg_ms, pass_name_10, pass_10_time_avg_ms, pass_name_11, pass_11_time_avg_ms, pass_name_12, pass_12_time_avg_ms, pass_name_13, pass_13_time_avg_ms, pass_name_14, pass_14_time_avg_ms, pass_name_15, pass_15_time_avg_ms, pass_name_16, pass_16_time_avg_ms, pass_name_17, pass_17_time_avg_ms, pass_name_18, pass_18_time_avg_ms, pass_name_19, pass_19_time_avg_ms, pass_name_20, pass_20_time_avg_ms, pass_name_21, pass_21_time_avg_ms, pass_name_22, pass_22_time_avg_ms, pass_name_23, pass_23_time_avg_ms, pass_name_24, pass_24_time_avg_ms, pass_name_25, pass_25_time_avg_ms, pass_name_26, pass_26_time_avg_ms, pass_name_27, pass_27_time_avg_ms, pass_name_28, pass_28_time_avg_ms, pass_name_29, pass_29_time_avg_ms, pass_name_30, pass_30_time_avg_ms, pass_name_31, pass_31_time_avg_ms, renderer_name, run_current_time, camera-mode-name, total_time_min_ms, total_time_median_ms, total_time_max_ms, total_time_avg_ms, total_time_p01_ms, total_time_p10_ms, total_time_p90_ms, total_time_p99_ms, variable-geometry-count, variable-overdraw-count, variable-waste-quad-count, variable-alu-op-count",0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,1,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
success,default,0,0,0,0,,0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,0,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,0,default,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9lm7zce7\run_00000.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,1,0,0,camera.csv,10,10,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,,0.00000,forward,2.96434,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-21T18:32:19,free,1.71434,2.55930,6.23146,2.96434,1.73030,1.77264,4.60202,5.67680,4,0,1,100
success,default,0,0,0,0,,0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,2,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,0,default,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_k9k27g04\run_00000.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,1,0,2,camera.csv,10,10,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,,0.00000,forward,1.86193,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-21T18:32:33,playback,1.71357,1.84794,2.32454,1.86193,1.73066,1.75834,1.98077,2.08608,4,0,1,100
failed,default,0,0,,0,"Could not read benchmark CSV: Benchmark output CSV is missing ProgramResult fields: pass_name_0, pass_0_time_avg_ms, pass_name_1, pass_1_time_avg_ms, pass_name_2, pass_2_time_avg_ms, pass_name_3, pass_3_time_avg_ms, pass_name_4, pass_4_time_avg_ms, pass_name_5, pass_5_time_avg_ms, pass_name_6, pass_6_time_avg_ms, pass_name_7, pass_7_time_avg_ms, pass_name_8, pass_8_time_avg_ms, pass_name_9, pass_9_time_avg_ms, pass_name_10, pass_10_time_avg_ms, pass_name_11, pass_11_time_avg_ms, pass_name_12, pass_12_time_avg_ms, pass_name_13, pass_13_time_avg_ms, pass_name_14, pass_14_time_avg_ms, pass_name_15, pass_15_time_avg_ms, pass_name_16, pass_16_time_avg_ms, pass_name_17, pass_17_time_avg_ms, pass_name_18, pass_18_time_avg_ms, pass_name_19, pass_19_time_avg_ms, pass_name_20, pass_20_time_avg_ms, pass_name_21, pass_21_time_avg_ms, pass_name_22, pass_22_time_avg_ms, pass_name_23, pass_23_time_avg_ms, pass_name_24, pass_24_time_avg_ms, pass_name_25, pass_25_time_avg_ms, pass_name_26, pass_26_time_avg_ms, pass_name_27, pass_27_time_avg_ms, pass_name_28, pass_28_time_avg_ms, pass_name_29, pass_29_time_avg_ms, pass_name_30, pass_30_time_avg_ms, pass_name_31, pass_31_time_avg_ms, renderer_name, run_current_time, camera-mode-name, total_time_min_ms, total_time_median_ms, total_time_max_ms, total_time_avg_ms, total_time_p01_ms, total_time_p10_ms, total_time_p90_ms, total_time_p99_ms, variable-geometry-count, variable-overdraw-count, variable-waste-quad-count, variable-alu-op-count",0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,1,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,default,0,0,,0,"Could not read benchmark CSV: Benchmark output CSV is missing ProgramResult fields: pass_name_0, pass_0_time_avg_ms, pass_name_1, pass_1_time_avg_ms, pass_name_2, pass_2_time_avg_ms, pass_name_3, pass_3_time_avg_ms, pass_name_4, pass_4_time_avg_ms, pass_name_5, pass_5_time_avg_ms, pass_name_6, pass_6_time_avg_ms, pass_name_7, pass_7_time_avg_ms, pass_name_8, pass_8_time_avg_ms, pass_name_9, pass_9_time_avg_ms, pass_name_10, pass_10_time_avg_ms, pass_name_11, pass_11_time_avg_ms, pass_name_12, pass_12_time_avg_ms, pass_name_13, pass_13_time_avg_ms, pass_name_14, pass_14_time_avg_ms, pass_name_15, pass_15_time_avg_ms, pass_name_16, pass_16_time_avg_ms, pass_name_17, pass_17_time_avg_ms, pass_name_18, pass_18_time_avg_ms, pass_name_19, pass_19_time_avg_ms, pass_name_20, pass_20_time_avg_ms, pass_name_21, pass_21_time_avg_ms, pass_name_22, pass_22_time_avg_ms, pass_name_23, pass_23_time_avg_ms, pass_name_24, pass_24_time_avg_ms, pass_name_25, pass_25_time_avg_ms, pass_name_26, pass_26_time_avg_ms, pass_name_27, pass_27_time_avg_ms, pass_name_28, pass_28_time_avg_ms, pass_name_29, pass_29_time_avg_ms, pass_name_30, pass_30_time_avg_ms, pass_name_31, pass_31_time_avg_ms, renderer_name, run_current_time, camera-mode-name, total_time_min_ms, total_time_median_ms, total_time_max_ms, total_time_avg_ms, total_time_p01_ms, total_time_p10_ms, total_time_p90_ms, total_time_p99_ms, variable-geometry-count, variable-overdraw-count, variable-waste-quad-count, variable-alu-op-count",0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,1,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
success,default,0,0,0,0,,0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,2,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,0,default,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_6xha_6gd\run_00000.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,1,0,2,camera.csv,10,10,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,,0.00000,forward,1.85882,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-21T18:33:17,playback,1.71510,1.84774,2.24230,1.85882,1.73142,1.75875,1.97885,2.05859,4,0,1,100
success,default,0,0,0,0,,0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,2,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,0,default,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_01ki8lk3\run_00000.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,1,0,2,camera.csv,10,10,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,,0.00000,forward,1.86765,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-21T18:34:49,playback,1.71389,1.85453,2.39318,1.86765,1.72998,1.76032,1.98310,2.18307,4,0,1,100
failed,default,0,0,,3221226505,Process exited with code 3221226505. | Assertion failed. Log saved to: D:\project\TVBPerf\out\build\x64-Release\bin\Release\logs\log_2026-07-21_18-34-59.txt,0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,1,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
success,default,0,0,0,0,,0,no-run-name,temp.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,0,0,1,camera.csv,10,10,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.785,1,1,1,0,0,-1.0,1.0,1.0,0.5,1,1,1,256,1,100,0,default,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_qglh1d5z\run_00000.csv,1,0,1,0,assets/scenes/unpacked/Bistro_v5_2/BistroExterior.fbx,60,24000,1,0,1,camera.csv,10,10,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.785,1,1,1,0,0,-1,1,1,0.5,1,1,1,256,1,100,,0.00000,forward,3.27771,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,,0.00000,Forward,2026-07-21T18:38:08,record,1.53091,3.21459,8.15424,3.27771,1.68627,2.14352,4.48800,5.44451,4,0,1,100
